"","participants","SIC_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_SIC_code","alliance_nation","status","type","ownership_structure","deal_number"
"11796","HTC ","3571","2013-11-18","","Manufacture computers,mobile telephones","Taiwan","VIRGIN MOBILE USA INC/HTC CORP -STRATEGIC ALLIANCE","3669","United States","Completed/Signed","Strategic Alliance",NA,2623002045
"11798","SILICON GRAPHICS INTERNATIONAL","3571","2013-11-18","","Mnfr,whl server,storage prod","United States","EXTREME NETWORKS INC/RACKABLE SYSTEMS INC-STRATEGIC ALLIANCE","3669","Supranational","Completed/Signed","Strategic Alliance",NA,2586007045
"11804","IBM ","3571","2013-11-19","","Manufacture computer products","United States","BHARAT LIGHT & POWER/IBM CORP-STRATEGIC ALLIANCE","4911","India","Completed/Signed","Strategic Alliance",NA,2585969045
"11821","PT TELEKOMUNIKASI SELULAR","4812","2013-11-19","","Pvd cellular commun svcs","Indonesia","NQ MOBILE INC/TELEKOMUNIKASI SELULAR PT-STRATEGIC ALLIANCE","7375","Indonesia","Completed/Signed","Strategic Alliance",NA,2587315045
"11888","MOTOROLA MOBILITY","3663","2013-11-22","","Mnfr integrated commun prod","United States","MOTOROLA MOBILITY INC/3D SYSTEMS INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2587720045
"11966","IBM ","3571","2013-11-29","","Manufacture computer products","United States","YLZ INFORMATION TECHNOLOGY CO LTD/INTERNATIONAL BUSINESS MACHINES~CORP-STRATEGIC ALLIANCE","7372","China","Completed/Signed","Strategic Alliance",NA,2589759045
"11972","DATANG TELECOM TECH ","3663","2013-12-02","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","China","NXP SEMICONDUCTORS N V/DATANG TELECOM TECHNOLOGY CO LTD-JOINT VENTURE","3674","China","Completed/Signed","Joint Venture",50,2589162045
"11996","TELENOR ASA","4812","2013-12-03","","Provide mobile communication services","Norway","SCHIBSTED ASA/TELENOR ASA-JOINT VENTURE","4812","Supranational","Completed/Signed","Joint Venture",50,2594071045
"11997","TELENOR ASA","4812","2013-12-03","","Provide mobile communication services","Norway","SCHIBSTED ASA/SINGAPORE PRESS HOLDINGS LTD/TELENOR ASA-JOINT VENTURE","7375","Singapore","Completed/Signed","Joint Venture",33.3,2594081045
"12030","NOKIA SIEMENS NETWORKS ITALIA","4812","2013-12-05","","Pvd wireless telecommun svcs","Italy","NOKIA SIEMENS NETWORKS ITALIA/MICROSOFT CORP/SKY ITALIA SRL-STRATEGIC~ALLIANCE","7372","Italy","Completed/Signed","Strategic Alliance",NA,2604052045
"12130","DELL","3571","2013-12-12","","Manufactures and wholesales computers","United States","DELL INC/DROPBOX INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2955827045
"12133","THALES ALENIA SPACE SAS","3663","2013-12-12","","Manufactures satellite systems","France","VISIONA TECNOLOGIA ESPACIAL SA/THALES ALENIA SPACE FRANCE-STRATEGIC~ALLIANCE","4899","Brazil","Completed/Signed","Strategic Alliance",NA,2612815045
"12166","TIGO PARAGUAY","4812","2013-12-17","","Pvd telecommunications svcs","Paraguay","FACEBOOK INC/TIGO PARAGUAY-STRATEGIC ALLIANCE","7375","Paraguay","Completed/Signed","Strategic Alliance",NA,2613209045
"12174","SPRINT ","4812","2013-12-17","","Wireless Telecommunications Carriers (Except Satellite)","United States","SPRINT CORP/ DISH NETWORK CORP- STRATEGIC ALLIANCE","4812","United States","Completed/Signed","Strategic Alliance",NA,2612352045
"12228","TUTELA TECHNOLOGY","4812","2013-12-19","","Wired Telecommunications Carriers","Canada","EDGEWATER WIRELESS SYSTEMS INC/ TUTELA TECHNOLOGIES- STRATEGIC ALLIANCE","7375","Canada","Completed/Signed","Strategic Alliance",NA,2613774045
"12303","BATELCO","4812","2013-12-30","","Pvd telecommunications services","Bahrain","BAHRAIN TELECOMMUNICATIONS CO BSC/TAMKEEN BSC-STRATEGIC ALLIANCE","6282","Bahrain","Completed/Signed","Strategic Alliance",NA,2598422045
"12360","SAMSUNG ELECTRONIC ","3663","2014-01-07","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","SAMSUNG ELECTRONICS CO LTD/PARAMOUNT PICTURES CORP-STRATEGIC ALLIANCE","3651","Supranational","Completed/Signed","Strategic Alliance",NA,2599490045
"12422","NII HOLDING","4812","2014-01-13","","Pvd wireless telecommun svcs","United States","NII HOLDINGS INC/ TELEFONICA SA-STRATEGIC ALLIANCE","4813","Supranational","Completed/Signed","Strategic Alliance",NA,2626452045
"12602","TELEKOMUNIKASI INDONESIA","4812","2014-01-23","","Provide telecommunication,network services","Indonesia","TELEKOMUNIKASI INDONESIA TBK PT/TELSTRA CORP LTD-JOINT VENTURE","4813","Indonesia","Completed/Signed","Joint Venture",50,2674567045
"12633","TELEFONAKTIEBOLAGET LM","4812","2014-01-27","","Provides telecommunications services","Sweden","ERICSSON/SAMSUNG-STRATEGIC ALLIANCE","6794","Supranational","Completed/Signed","Strategic Alliance",NA,2635577045
"12634","SAMSUNG ELECTRONIC ","3663","2014-01-27","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","ERICSSON/SAMSUNG-STRATEGIC ALLIANCE","6794","Supranational","Completed/Signed","Strategic Alliance",NA,2635577045
"12646","SAMSUNG ELECTRONIC ","3663","2014-01-28","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","SAMSUNG ELECTRONICS CO LTD/TESSERA INC-STRATEGIC ALLIANCE","3651","Supranational","Completed/Signed","Strategic Alliance",NA,2609267045
"12648","CISNEROS GROUP OF COS","3663","2014-01-28","","Investment holding company","Venezuela","CISNEROS GROUP OF COS/BUNGALOW MEDIA + ENTERTAINMENT LLC-STRATEGIC~ALLIANCE","3663","Supranational","Completed/Signed","Strategic Alliance",NA,2610997045
"12649","BUNGALOW MEDIA + ENTERTAINMENT","3663","2014-01-28","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","United States","CISNEROS GROUP OF COS/BUNGALOW MEDIA + ENTERTAINMENT LLC-STRATEGIC~ALLIANCE","3663","Supranational","Completed/Signed","Strategic Alliance",NA,2610997045
"12812","IBM ","3571","2014-02-06","","Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINES/AUTOBUSES DE ORIENTE-STRATEGIC ALLIANCE","7371","United States","Completed/Signed","Strategic Alliance",NA,2626246045
"12826","HTC ","3571","2014-02-07","","Manufacture computers,mobile telephones","Taiwan","HTC CORP/NOKIA OYJ-STRATEGIC ALLIANCE","6794","Taiwan","Completed/Signed","Strategic Alliance",NA,2625892045
"12827","NOKIA OYJ","3663","2014-02-07","","Mnfr network infrastructure products","Finland","HTC CORP/NOKIA OYJ-STRATEGIC ALLIANCE","6794","Taiwan","Completed/Signed","Strategic Alliance",NA,2625892045
"12909","TELEFONAKTIEBOLAGET LM","4812","2014-02-14","","Provides telecommunications services","Sweden","CIENA CORP/TELEFONSKTIEBOLAGET LM ERICSSON-STRATEGIC ALLIANCE","3661","Supranational","Completed/Signed","Strategic Alliance",NA,2630874045
"12912","HEWLETT PACKARD ","3571","2014-02-14","","Mnfr,whl computer equipment","United States","HEWLETT PACKARD CO/GAGA SPORTS & ENTERTAINMENT INC-STRATEGIC ALLIANCE","7371","United States","Completed/Signed","Strategic Alliance",NA,2635508045
"12946","IBM ","3571","2014-02-18","","Manufacture computer products","United States","AT&T INC/IBM CORP-STRATEGIC ALLIANCE","4813","Supranational","Completed/Signed","Strategic Alliance",NA,2623308045
"12978","SAMSUNG ELECTRONIC ","3663","2014-02-20","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","INGENICO SA/SAMSUNG ELECTRONICS CO LTD-STRATEGIC ALLIANCE","3578","Supranational","Completed/Signed","Strategic Alliance",NA,2642151045
"13004","SIERRA WIRELESS","3663","2014-02-24","","Mnfr,whl wireless data product","Canada","TECH MAHINDRA LTD/SIERRA WIRELESS INC-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2628386045
"13006","TELEFONAKTIEBOLAGET LM","4812","2014-02-24","","Provides telecommunications services","Sweden","TELEFONAKTIEBOLAGET LM ERICSSON/FACEBOOK INC-STRATEGIC ALLIANCE","7375","Supranational","Completed/Signed","Strategic Alliance",NA,2639293045
"13015","DELL","3571","2014-02-24","","Manufactures and wholesales computers","United States","INGRAM MICRO INC/DELL INC-STRATEGIC ALLIANCE","7374","United States","Completed/Signed","Strategic Alliance",NA,2640398045
"13021","HTC ","3571","2014-02-24","","Manufacture computers,mobile telephones","Taiwan","NETGEAR INC/HTC CORP-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2640374045
"13043","IBM ","3571","2014-02-25","","Manufacture computer products","United States","AT&T INC/IBM CORP-STRATEGIC ALLIANCE","7375","","Completed/Signed","Strategic Alliance",NA,2623320045
"13082","VODAFONE-PANAFON HELLENIC","4812","2014-02-27","","Pvd wireless telecommun svcs","Greece","VODAFONE-PANAFON HELLENIC/WIND HELLAS TELECOMMUNICATIONS-JOINT VENTURE","4812","Greece","Completed/Signed","Joint Venture",50,2968856045
"13083","WIND HELLAS TELECOMMUN","4812","2014-02-27","","Pvd wireless telecommun svcs","Greece","VODAFONE-PANAFON HELLENIC/WIND HELLAS TELECOMMUNICATIONS-JOINT VENTURE","4812","Greece","Completed/Signed","Joint Venture",50,2968856045
"13127","APPLE","3571","2014-03-03","","Electronic Computer Manufacturing","United States","APPLE COMPUTER INC/VOLVO AB-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2617163045
"13222","VIASAT","3663","2014-03-10","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","United States","VIASAT INC/LIGHTSQUARED INC-STRATEGIC ALLIANCE","4812","Supranational","Completed/Signed","Strategic Alliance",NA,2652004045
"13223","LIGHTSQUARED","4812","2014-03-10","","Provide wireless telecom svcs","United States","VIASAT INC/LIGHTSQUARED INC-STRATEGIC ALLIANCE","4812","Supranational","Completed/Signed","Strategic Alliance",NA,2652004045
"13299","ETIHAD ETISALATSJSC","4812","2014-03-16","","Provide wireless telecommunications services","Saudi Arabia","ETIHAD ETISALAT CO SJSC/BHARTI AIRTEL LTD-STRATEGIC ALLIANCE","7389","Supranational","Completed/Signed","Strategic Alliance",NA,2953996045
"13305","DASAN NETWORKS","3663","2014-03-17","","Mnfr whl network communication equipment","South Korea","UTSTARCOM HOLDINGS CORP/DASAN NETWORKS INC-STRATEGIC ALLIANCE","3669","","Completed/Signed","Strategic Alliance",NA,2621218045
"13419","IBM ","3571","2014-03-25","","Manufacture computer products","United States","PITNEY BOWES INC/IBM CORP-STRATEGIC ALLIANCE","3579","Supranational","Completed/Signed","Strategic Alliance",NA,2622195045
"13421","SAMSUNG ELECTRONIC ","3663","2014-03-25","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","SAMSUNG ELECTRONICS CO LTD/ANGEL IGLESIAS SA/ZAFIRE LTD-JOINT VENTURE","4581","Supranational","Completed/Signed","Strategic Alliance",NA,2621877045
"13422","ANGEL IGLESIAS","3663","2014-03-25","","Mnfr,whl electronic devices","Spain","SAMSUNG ELECTRONICS CO LTD/ANGEL IGLESIAS SA/ZAFIRE LTD-JOINT VENTURE","4581","Supranational","Completed/Signed","Strategic Alliance",NA,2621877045
"13560","AVIAT NETWORKS","3663","2014-04-02","","Mnfr wireless netwroking prod","United States","AVIAT NETWORKS INC/UBUNTU TECHNOLOGIES-JOINT VENTURE","4812","South Africa","Completed/Signed","Joint Venture",50,2954094045
"13563","GLOBECOMM SYSTEM","3663","2014-04-03","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","United States","LEVELS BEYOND INC/GLOBECOMM SYSTEMS INC-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,2954107045
"13596","HARMONIC","3663","2014-04-06","","Mnfr,whl video products","United States","HARMONIC INC/LOUDEYE CORP-STRATEGIC ALLIANCE","7812","United States","Completed/Signed","Strategic Alliance",NA,2954373045
"13611","IBM ","3571","2014-04-07","","Manufacture computer products","United States","IBM CORP/AUTOBUSES DE ORIENTE-STRATEGIC ALLIANCE","7371","Supranational","Completed/Signed","Strategic Alliance",NA,2626334045
"13664","STARHUB","4812","2014-04-11","","Provide telecommunications services","Singapore","STARHUB LTD/SAMSUNG ELECTRONICS CO LTD-STRATEGIC ALLIANCE","7375","Singapore","Completed/Signed","Strategic Alliance",NA,2962654045
"13665","SAMSUNG ELECTRONIC ","3663","2014-04-11","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","STARHUB LTD/SAMSUNG ELECTRONICS CO LTD-STRATEGIC ALLIANCE","7375","Singapore","Completed/Signed","Strategic Alliance",NA,2962654045
"13696","NYU WIRELESS","4812","2014-04-15","","Wireless Telecommunications Carriers","United States","NYU WIRELESS/ERICSSON AB-STRATEGIC ALLIANCE","4813","Supranational","Completed/Signed","Strategic Alliance",NA,2629370045
"13697","TELEFONAKTIEBOLAGET LM","4812","2014-04-15","","Provides telecommunications services","Sweden","NYU WIRELESS/ERICSSON AB-STRATEGIC ALLIANCE","4813","Supranational","Completed/Signed","Strategic Alliance",NA,2629370045
"13749","ITALK","4812","2014-04-22","","Pvd telecommunications svcs","United States","ITALK INC/TRANZBYTE CORP-STRATEGIC ALLIANCE","4812","United States","Completed/Signed","Strategic Alliance",NA,2955431045
"13794","ALPINE LABS","3571","2014-04-27","","Multi-media company","United States","ALPINE LABS/BLACKBOXTV-STRATEGIC ALLIANCE","5099","United States","Completed/Signed","Strategic Alliance",NA,2973045045
"13839","VANCOUVER TELECARRIER SVCS","4812","2014-05-04","","Telecommunications Resellers","Canada","MOBETIZE CORP/VANCOUVER TELECARRIER SERVICES, INC-STRATEGIC ALLIANCE","4812","United States","Completed/Signed","Strategic Alliance",NA,2955854045
"13849","NCS TECHNOLOGY","3571","2014-05-05","","Mnfr,whl desktops,notebooks","United States","MELLANOX TECHNOLOGIES LTD/NCS TECHNOLOGIES INC-STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,2955869045
"13882","IBM ","3571","2014-05-06","","Manufacture computer products","United States","CONCUR TECHNOLOGIES INC/IBM CORP-STRATEGIC ALLIANCE","7371","Supranational","Completed/Signed","Strategic Alliance",NA,2640637045
"13892","SIEMENS","3663","2014-05-07","","Manufactures and wholesales telecommunications equipment","Germany","MITSUBISHI HEAVY INDUSTRIES LTD/SIEMENS AG-JOINT VENTURE","8711","United Kingdom","Completed/Signed","Joint Venture",49,2967824045
"13903","SIEMENS","3663","2014-05-07","","Manufactures and wholesales telecommunications equipment","Germany","SIEMENS AG/ MITSUBISHI HEAVY INDUSTRIES LTD - JOINT VENTURE","3532","United Kingdom","Completed/Signed","Joint Venture",49,2646658045
"13910","HEWLETT PACKARD ","3571","2014-05-08","","Mnfr,whl computer equipment","United States","BPC BANKING TECHNOLOGIES/HP INC-STRATEGIC ALLIANCE","7373","Switzerland","Completed/Signed","Strategic Alliance",NA,2953681045
"13927","MAGICJACK VOCALTEC","3663","2014-05-11","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","Israel","MAGICJACK VOCALTEC LTD/TELEFONICA SA-STRATEGIC ALLIANCE","4812","Israel","Completed/Signed","Strategic Alliance",NA,2952427045
"13938","IBM ","3571","2014-05-13","","Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINES CORP/NISOURCE INC-STRATEGIC ALLIANCE","7371","United States","Completed/Signed","Strategic Alliance",NA,2637087045
"14070","DIGITAL BRIDGE-CELL PORTFOLIO","4812","2014-05-21","","Wired Telecommunications Carriers","United States","FIDEICOMISO DE INFRAESTRUCTURA/DIGITAL BRIDGE HOLDINGS LLC-CELL TOWERS~PORTFOLIO-JOINT VENTURE","4812","Mexico","Completed/Signed","Joint Venture",50,2870589045
"14133","GOLAN TELECOM","4812","2014-05-26","","Wired Telecommunications Carriers","Israel","CELLCOM ISRAEL LTD/GOLAN TELECOM LTD-STRATEGIC ALLIANCE","4812","Israel","Completed/Signed","Strategic Alliance",NA,2640845045
"14251","STARHUB","4812","2014-06-02","","Provide telecommunications services","Singapore","LAND TRANSPORT AUTHORITY/SMRT CORP LTD/STARHUB LTD/INTERNATIONAL~BUSINESS-JOINT VENTURE","7373","Singapore","Completed/Signed","Joint Venture",25,2972429045
"14252","IBM ","3571","2014-06-02","","Manufacture computer products","United States","LAND TRANSPORT AUTHORITY/SMRT CORP LTD/STARHUB LTD/INTERNATIONAL~BUSINESS-JOINT VENTURE","7373","Singapore","Completed/Signed","Joint Venture",25,2972429045
"14261","SAMSUNG ELECTRONIC ","3663","2014-06-03","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","SAMSUNG ELECTRONICS CO LTD/ESPIAL GROUP INC-STRATEGIC ALLIANCE","7372","Canada","Completed/Signed","Strategic Alliance",NA,2653450045
"14269","SAMSUNG ELECTRONIC ","3663","2014-06-03","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","SAMSUNG ELECTRONICS CO LTD/ ESPIAL GROUP INC-STRATEGIC ALLIANCE","7372","Canada","Completed/Signed","Strategic Alliance",NA,2690420045
"14390","SIEMENS","3663","2014-06-12","","Manufactures and wholesales telecommunications equipment","Germany","JOHN WOOD GROUP PLC/SIEMENS AG-JOINT VENTURE","7538","United Kingdom","Completed/Signed","Joint Venture",50,2822527045
"14640","APPLE","3571","2014-07-03","","Electronic Computer Manufacturing","United States","JARIR MARKETING CO SJSC/APPLE INC-STRATEGIC ALLIANCE","5734","Saudi Arabia","Completed/Signed","Strategic Alliance",NA,2653435045
"14695","TELE2 TELECOMMUNICATION","4812","2014-07-08","","Pvd telecommunications svcs","Austria","ROSTELECOM LONG-DISTANCE & INTL TELECOMMUNICATIONS CO. PJSC/TELE2~TELECOMMUNICATION GMBH-JOINT VENTURE","4813","Russian Fed","Completed/Signed","Joint Venture",55,2819289045
"14727","CHINA UNICOM LTD-CDMA TELECOM","4812","2014-07-11","","Pvd telecom svcs","China","CHINA MOBILE LTD/CHINA UNICOM LTD/CHINA TELECOM CORP LTD- JOINT VENTURE","4813","China","Completed/Signed","Joint Venture",30.1,2820609045
"14737","CHINA TELECOMMUNICATION ","4812","2014-07-11","","Telecommunications Resellers","China","CHINA MOBILE COMMUNICATIONS CORP/CHINA UNITED NETWORK COMMUNICATIONS~LTD/CHINA TELECOMMUNICATIONS CORP-JOINT VENTURE","4813","China","Completed/Signed","Joint Venture",29.9,2655583045
"14745","LENOVO INDIA PVT","3571","2014-07-14","","Electronic Computer Manufacturing","India","HCL INFOSYSTEMS LTD/LENOVO INDIA PVT LTD-STRATEGIC ALLIANCE","8742","India","Completed/Signed","Strategic Alliance",NA,2793811045
"14827","IBM ","3571","2014-07-22","","Manufacture computer products","United States","IBM/MONITISE PLC-STRATEGIC ALLIANCE","8741","Supranational","Completed/Signed","Strategic Alliance",NA,2817847045
"14860","INSITE WIRELESS GROUP","4812","2014-07-29","","Provides wireless telecommunications infrastructure services","United States","TELECOM LEASE ADVISORS LLC/INSITE WIRELESS GROUP LLC-JOINT VENTURE","4812","United States","Completed/Signed","Joint Venture",50,2942625045
"14882","THE GO BIG PROJECT","3571","2014-07-30","","Multi-media company","United States","BR4SS INC/THE GO BIG PROJECT-STRATEGIC ALLIANCE","7812","United States","Completed/Signed","Strategic Alliance",NA,2946581045
"14907","MTS","4812","2014-08-01","","Wireless Telecommunications Carriers (Except Satellite)","Russian Fed","MOBIL'NYE TELESISTEMY PAO/UZBEKISTAN-JOINT VENTURE","4899","Uzbekistan","Completed/Signed","Joint Venture",50,2857945045
"14930","TELE2","4812","2014-08-06","","Wireless Telecommunications Carriers (Except Satellite)","Sweden","TELE2 AB/ROSTELCOM JSC-JOINT VENTURE","4812","Russian Fed","Completed/Signed","Joint Venture",50,2969410045
"15021","SIEMENS","3663","2014-08-17","","Manufactures and wholesales telecommunications equipment","Germany","SIEMENS AG/SCIENTECHNIC LLC-STRATEGIC ALLIANCE","5099","Utd Arab Em","Completed/Signed","Strategic Alliance",NA,2832698045
"15050","TELIASONERA","4812","2014-08-20","","Provide wireless telecommun svcs","Sweden","TELIASONERA AB/DNA OY-JOINT VENTURE","4812","Finland","Completed/Signed","Joint Venture",51,2899557045
"15051","DNA","4812","2014-08-20","","Provide telecommunication svcs","Finland","TELIASONERA AB/DNA OY-JOINT VENTURE","4812","Finland","Completed/Signed","Joint Venture",49,2899557045
"15183","MILLICOM","4812","2014-09-11","","Provide wireless telecom svcs","United States","MILLICOM INC/KALIXA PAY LTD-JOINT VENTURE","7322","Supranational","Completed/Signed","Joint Venture",50,2674657045
"15190","MILLICOM INTERNATIONAL","4812","2014-09-11","","Wireless Telecommunications Carriers (Except Satellite)","Luxembourg","KALIXA PAY LTD/MILLICOM INTERNATIONAL CELLULAR SA-JOINT VENTURE","7322","Supranational","Completed/Signed","Joint Venture",50,2674433045
"15216","IMPERATIVE ENTERTAINMENT","3571","2014-09-16","","Electronic Computer Manufacturing","United States","IMPERATIVE ENTERTAINMENT/BASTEI LUBBE AG-JOINT VENTURE","3577","United States","Completed/Signed","Joint Venture",50,2676805045
"15264","ETIHAD ETISALATSJSC","4812","2014-09-20","","Provide wireless telecommunications services","Saudi Arabia","ETIHAD ETISALAT CO SJSC/SAUDI CREDIT & SAVINGS BANK-STRATEGIC ALLIANCE","7372","Saudi Arabia","Completed/Signed","Strategic Alliance",NA,2688998045
"15285","SIMULMEDIA","3663","2014-09-23","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","United States","THE NIELSEN COMPANY/SIMULMEDIA INC-STRATEGIC ALLIANCE","8731","United States","Completed/Signed","Strategic Alliance",NA,2882855045
"15398","SCENE LP","4812","2014-10-09","","Provide telecommunications svcs","Canada","SCENE LP/FGL SPORTS LTD-STRATEGIC ALLIANCE","8742","Canada","Completed/Signed","Strategic Alliance",NA,2948039045
"15498","KYOCERA WIRELESS ","3663","2014-10-23","","Mnfr wireless phone","United States","WIDEPOINT CORP/KYOCERA WIRELESS CORP-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,2774150045
"15617","AFRIMAX COOPERATIEF UA","4812","2014-11-18","","Wireless Telecommunications Carriers (Except Satellite)","Netherlands","VODAFONE GROUP PLC/AFRIMAX COOPERATIEF UA-STRATEGIC ALLIANCE","4812","United Kingdom","Completed/Signed","Strategic Alliance",NA,3030437045
"15626","TELEFONICA SA-MOBILE TELEPHONE","4812","2014-11-23","","Pvd telecommunications svcs","Spain","TELEFONICA SA-MOBILE TELEPHONE/GRUPO TELEVISA SAB-JOINT VENTURE","4812","Mexico","Completed/Signed","Joint Venture",50,2822562045
"15658","THIAGARAJAR TELEKOM SOLUTIONS","4812","2014-12-09","","Wireless Telecommunications Carriers (Except Satellite)","India","TELIT WIRELESS SOLUTIONS INC/THIAGARAJAR TELEKOM SOLUTIONS~LIMITED-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2708110045
"15680","COOLPAD GROUP","4812","2014-12-16","","Wired Telecommunications Carriers","China","COOLPAD GROUP LTD/QIHOO 360 TECHNOLOGY CO LTD-JOINT VENTURE","7375","China","Completed/Signed","Joint Venture",55,2707122045
"15812","LENOVO GROUP","3571","2015-01-15","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/ZENOSS INC-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2716840045
"15874","SINGAPORE TELECOMMUNICATION","4812","2015-01-31","","Provide telecommunications services","Singapore","WARNER BROS INC/SONY PICTURES TELEVISION INC/SINGAPORE~TELECOMMUNICATIONS-JOINT VENTURE","4841","Supranational","Completed/Signed","Joint Venture",33.3,2949828045
"15890","RELIANCE JIO INFOCOMM","4812","2015-02-07","","Wired Telecommunications Carriers","India","STATE BANK OF INDIA/RELIANCE INDUSTRIES-JOINT VENTURE","6035","India","Completed/Signed","Joint Venture",70,2779455045
"15952","MOBILE TELECOMMUNKSCP","4812","2015-03-10","","Provide wireless telecommunications services","Kuwait","MOBILE TELECOMMUNICATIONS CO KSC/DATAMENA CO-STRATEGIC ALLIANCE","7373","Utd Arab Em","Completed/Signed","Strategic Alliance",NA,2735540045
"16096","ARRIS GROUP","3663","2015-04-14","","Mnfr communication equipments","United States","ARRIS GROUP INC/CHARTER COMMUNICATIONS INC-JOINT VENTURE","7372","United States","Completed/Signed","Joint Venture",65,2770811045
"16351","BOUYGUES TELECOM","4812","2015-06-03","","Provide mobile telecommunication services","France","BOUYGUES TELECOM SA/TELEFONICA-JOINT VENTURE","7376","France","Completed/Signed","Joint Venture",50,2770984045
"16352","TELEFONICA TELECOMUNICACIONES","4812","2015-06-03","","Pvd telecommun svcs","Spain","BOUYGUES TELECOM SA/TELEFONICA-JOINT VENTURE","7376","France","Completed/Signed","Joint Venture",50,2770984045
"16417","VIASAT","3663","2015-06-17","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","United States","TEKEVER TECNOLOGIAS DE INFORMACAO SA/VIASAT INC.-STRATEGIC ALLIANCE","7372","Portugal","Completed/Signed","Strategic Alliance",NA,2788896045
"16449","BATELCO","4812","2015-06-22","","Pvd telecommunications services","Bahrain","NATIONAL MOTOR CO WLL/BAHRAIN TELECOMMUNICATIONS CO BSC-STRATEGIC ALLIANCE","7538","Bahrain","Completed/Signed","Strategic Alliance",NA,2961001045
"16712","BLINKMOBILE","4812","2015-08-11","","Provide telecommunications svcs","Australia","DATA3 LTD/BLINKMOBILE-STRATEGIC ALLIANCE","3663","Australia","Completed/Signed","Strategic Alliance",NA,2821597045
"16816","NOKIA OYJ","3663","2015-08-28","","Mnfr network infrastructure products","Finland","NOKIA OYJ/CHINA HUAXIN POST & TELECOMMUNICATION ECONOMY-JOINT VENTURE","4812","China","Completed/Signed","Joint Venture",50,2940163045
"16822","NOKIA(CHINA)INVESTMENT ","3663","2015-08-28","","Mnfr,whl mobile phones","China","NOKIA(CHINA)INVESTMENT CO LTD/ALCATEL-LUCENT SHANGHAI BELL -JOINT VENTURE","4812","China","Completed/Signed","Joint Venture",50,2949131045
"16871","ARAB SATELLITE COMMUN ORG","4812","2015-09-07","","Provide telecommunications services","Saudi Arabia","ARAB SATELLITE COMMUNICATIONS ORGANIZATION/EMERGING MARKETS COMMUNICATIONS~LLC-JOINT VENTURE","4812","Saudi Arabia","Completed/Signed","Joint Venture",50,2801704045
"16926","HARRISON AUDIO","3571","2015-09-25","","Multi-media company","United States","YAMAHA CORP/STEINBERG MEDIA TECHNOLOGIES /HARRISON AUDIO LLC-STRATEGIC~ALLIANCE","3571","Supranational","Completed/Signed","Strategic Alliance",NA,2930611045
"16954","JV-SPRINT,TELECOMMUN,COX,COMCA","4812","2015-10-01","","Pvd telecommunications svcs","United States","JV-SPRINT CORP,/HOME CREDIT U.S. LLC-JOINT VENTURE","6289","United States","Completed/Signed","Joint Venture",50,2941684045
"17042","IBM ","3571","2015-10-14","","Manufacture computer products","United States","INTERNATIONAL BUSINESS/21VIANET GROUP INC-STRATEGIC ALLIANCE","7371","China","Completed/Signed","Strategic Alliance",NA,3033394045
"17111","UFF MOVIL","4812","2015-10-28","","Pvd telecommunications svcs","Colombia","UFF MOVIL/TWNEL INC-STRATEGIC ALLIANCE","4812","Supranational","Completed/Signed","Strategic Alliance",NA,2820659045
"17169","KAZAKHTELECOM JSC","4812","2015-11-09","","Provide telecommunication svcs","Kazakhstan","AO KAZAKHTELEKOM/TELE2 AB-JOINT VENTURE","4812","Kazakhstan","Completed/Signed","Joint Venture",51,2942597045
